tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,hunt,prey_p_month,age_years,animal-reproductive-condition,animal-sex,hrs_indoors, n_cats,study-site
KramerTag,Kramer,Felis catus,52:52.0,15:28.0, Yes,4,12,Neutered,m,12,1,AUS
AdeleTag,Adele,Felis catus,05:06.0,56:58.0, Yes,6,0.9,Spayed,f,24,1,AUS
HenryTag,Henry,Felis catus,30:34.0,58:33.0, Yes,4,1,Neutered,m,15,1,AUS
RioTag,Rio,Felis catus,31:14.0,05:09.0, Yes,0,4,Spayed,f,15,1,AUS
SmokeyTag,Smokey,Felis catus,31:36.0,57:38.0, Yes,1,3,Spayed,f,6,2,AUS
SushiTag,Sushi,Felis catus,31:56.0,04:28.0, No,0,3,Spayed,f,20,1,AUS
MidoriTag,Midori,Felis catus,32:16.0,59:18.0, Yes,2,7,Spayed,f,8,1,AUS
Toby2Tag,Toby2,Felis catus,32:23.0,57:36.0, No,0,2,Neutered,m,15,1,AUS
TomTag,Tom,Felis catus,32:34.0,58:33.0, Yes,5,12,Neutered,m,6,1,AUS
MingoTag,Mingo,Felis catus,32:45.0,03:20.0, Yes,1,5,Spayed,f,19,2,AUS
SassyTag,Sassy,Felis catus,33:04.0,57:10.0, Yes,1,6,Spayed,f,19,2,AUS
BanditTag,Bandit,Felis catus,33:44.0,58:55.0, Yes,13,3,Spayed,f,4,1,AUS
HunterTag,Hunter,Felis catus,51:48.0,36:12.0, Yes,0,1,Neutered,m,10,1,AUS
DarkieTag,Darkie,Felis catus,50:03.0,08:25.0, Yes,6,2,Spayed,f,8,1,AUS
MangoTag,Mango,Felis catus,00:22.0,09:56.0, Yes,3,1,Neutered,m,14,1,AUS
CasperTag,Casper,Felis catus,32:34.0,56:05.0, Yes,3,8,Neutered,m,4,1,AUS
MiloTag,Milo,Felis catus,33:41.0,51:27.0, No,0,0.58,Spayed,f,14,4,AUS
CharlotteTag,Charlotte,Felis catus,36:01.0,10:03.0, Yes,3,5,Spayed,f,17,1,AUS
WizzerTag,Wizzer,Felis catus,34:35.0,41:26.0, Yes,3,12,Spayed,f,8,2,AUS
