tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,hunt, prey_p_month,age_years,animal-reproductive-condition,animal-sex,hrs_indoors,study-site
SandmanTag,Sandman,Felis catus,20:11.0,49:54.0, Yes,4,3,Neutered,m,5,NZ
GussTag,Guss,Felis catus,29:52.0,39:31.0, Yes,3,8,Neutered,m,16,NZ
VinnieTag,Vinnie,Felis catus,02:25.0,39:34.0, Yes,2,1,Neutered,m,14,NZ
ZenoTag,Zeno,Felis catus,19:33.0,21:04.0, Yes,1,4,Spayed,f,10,NZ
RockyTag,Rocky,Felis catus,04:33.0,22:40.0, No,,8,Neutered,m,20,NZ
LuxTag,Lux,Felis catus,22:22.0,01:10.0, Yes,21,6,Spayed,f,20,NZ
BearTag,Bear,Felis catus,02:28.0,58:00.0, Yes,6,4,Spayed,f,4,NZ
GusTag,Gus,Felis catus,06:13.0,04:23.0, Yes,3,3,Neutered,m,10,NZ
HarveyTag,Harvey,Felis catus,19:24.0,43:52.0, No,,9,Neutered,m,23,NZ
WinstonTag,Winston,Felis catus,55:23.0,17:02.0, No,,13,Neutered,m,11,NZ
TabsTag,Tabs,Felis catus,46:49.0,22:54.0, Yes,5,5,Spayed,f,18,NZ
LemonSqueezyTag,LemonSqueezy,Felis catus,27:27.0,07:27.0, No,,7,Spayed,f,11,NZ
MungoTag,Mungo,Felis catus,41:03.0,09:48.0, Yes,6,7,Neutered,m,16,NZ
PipiTag,Pipi,Felis catus,20:18.0,07:55.0, Yes,6,7,Spayed,f,17,NZ
BuddyTag,Buddy,Felis catus,02:13.0,57:56.0, Yes,1,7,Neutered,m,7,NZ
ArchieTag,Archie,Felis catus,05:25.0,01:53.0, Yes,1,4,Neutered,m,12,NZ
ThomasIITag,ThomasII,Felis catus,18:21.0,03:18.0, Yes,,5,Neutered,m,20,NZ
AlfieTag,Alfie,Felis catus,19:40.0,02:34.0, Yes,4,2,Neutered,m,16,NZ
RubyTag,Ruby,Felis catus,22:20.0,07:02.0, Yes,3,1,Spayed,f,18,NZ
HazelTag,Hazel,Felis catus,34:36.0,02:35.0, Yes,,1,Spayed,f, ,NZ
LokiTag,Loki,Felis catus,19:57.0,42:41.0, Yes,2,1,Neutered,m,14,NZ
MartyTag,Marty,Felis catus,16:39.0,07:34.0, Yes,1,2,Neutered,m,16,NZ
SchrodingerTag,Schrodinger,Felis catus,59:34.0,55:26.0, Yes,1,4,Spayed,f,14,NZ
TuiTag,Tui,Felis catus,22:37.0,22:25.0, Yes,13,2,Spayed,f,14,NZ
Shadow-NinjaTag,Shadow-Ninja,Felis catus,01:14.0,16:54.0,No,,2,Neutered,m,3,NZ
DashTag,Dash,Felis catus,02:06.0,33:33.0, Yes,2,4,Neutered,m,7,NZ
Cutie-GirlTag,Cutie-Girl,Felis catus,03:04.0,10:26.0, Yes,1,2,Spayed,f,4,NZ
KimyTag,Kimy,Felis catus,34:06.0,34:02.0, Yes,4,7,Spayed,f,6,NZ
ChessTag,Chess,Felis catus,53:33.0,52:00.0, Yes,1,9,Spayed,f,18,NZ
SussTag,Suss,Felis catus,41:53.0,29:31.0, Yes,2,4,Spayed,f,12,NZ
SebTag,Seb,Felis catus,04:58.0,58:57.0, Yes,11,6,Neutered,m,12,NZ
GinIITag,GinII,Felis catus,02:18.0,59:30.0, Yes,11,5,Neutered,m,12,NZ
TillyTag,Tilly,Felis catus,02:20.0,20:15.0, Yes,2,4,Neutered,m,8,NZ
BusterTag,Buster,Felis catus,05:28.0,59:45.0, Yes,5,1,Neutered,m,12,NZ
DingoTag,Dingo,Felis catus,23:43.0,02:41.0, Yes,11,4,Neutered,m,8,NZ
TobyTag,Toby,Felis catus,23:08.0,46:08.0, Yes,1,6,Neutered,m,18,NZ
SleekyTag,Sleeky,Felis catus,02:39.0,55:46.0, No,,11,Neutered,m,4,NZ
SootyTag,Sooty,Felis catus,18:56.0,09:36.0, Yes,3,2,Spayed,f,10,NZ
MarmiteTag,Marmite,Felis catus,51:24.0,58:04.0, Yes,2,4,Spayed,f,14,NZ
MilliGalTag,MilliGal,Felis catus,02:26.0,57:11.0, Yes,5,7,Spayed,f,15,NZ
