tag_id,animal_id,animal_taxon,deploy_on_date,deploy_off_date,hunt,prey_p_month,animal_reproductive_condition,animal_sex,hrs_indoors,n_cats,study_site,age_years
Seb-Tag,Seb,Felis catus,2017-11-24 09:43:09,2017-11-30 00:52:55,True,3.0,Fixed,m,12.5,2,UK,3.0
Gingernut,Gingernut,Felis catus,1970-01-01 04:07:00,1970-01-02 08:43:00,True,4.0,Fixed,m,2.0,1,NZ,2.0
TabithaTag,Tabitha,Felis catus,1970-01-01 01:55:00,1970-01-01 00:22:00,True,4.0,Fixed,f,10.0,1,NZ,1.0
KittyTag,Kitty,Felis catus,1970-01-01 02:40:00,1970-01-03 05:06:00,True,4.0,Fixed,f,8.0,1,NZ,14.0
MurphyTag,Murphy,Felis catus,1970-01-01 03:10:00,1970-01-03 00:30:00,True,4.0,Fixed,m,8.0,1,NZ,5.0
PandaTag,Panda,Felis catus,1970-01-02 23:26:00,1970-01-01 18:52:00,True,4.0,Fixed,f,10.0,1,NZ,3.0
FritzTag,Fritz,Felis catus,1970-01-01 01:43:00,1970-01-01 07:03:00,True,4.0,Fixed,m,12.0,1,NZ,7.0
BanzaiTag,Banzai,Felis catus,1970-01-01 02:32:00,1970-01-02 01:50:00,True,4.0,Fixed,m,15.0,1,NZ,3.0
NekoTag,Neko,Felis catus,1970-01-01 03:41:00,1970-01-01 11:28:00,True,4.0,Fixed,m,5.0,1,NZ,2.0
MogadonTag,Mogadon,Felis catus,1970-01-01 04:05:00,1970-01-01 17:19:00,False,4.0,Fixed,f,23.0,1,NZ,9.0
SkyTag,Sky,Felis catus,1970-01-01 02:18:00,1970-01-01 08:26:00,True,4.0,Fixed,m,18.0,1,NZ,6.0
PussumsTag,Pussums,Felis catus,1970-01-01 03:12:00,1970-01-02 16:58:00,True,4.0,Fixed,m,4.0,1,NZ,5.0
SmudgeTag,Smudge,Felis catus,1970-01-01 00:17:00,1970-01-03 09:44:00,True,4.0,Fixed,m,10.0,1,NZ,4.0
TacoTag,Taco,Felis catus,1970-01-01 01:41:00,1970-01-02 14:15:00,True,4.0,Fixed,m,8.0,1,NZ,1.0
TiggerTag,Tigger,Felis catus,1970-01-01 02:03:00,1970-01-01 01:48:00,True,4.0,Fixed,m,8.0,1,NZ,6.0
SpecklesTag,Speckles1,Felis catus,1970-01-01 02:32:00,1970-01-02 19:01:00,True,4.0,Fixed,f,6.0,1,NZ,0.8
MuffinTag,Muffin,Felis catus,1970-01-01 02:26:00,1970-01-03 07:06:00,False,4.0,Fixed,f,15.0,1,NZ,9.0
MollyTag,Molly,Felis catus,1970-01-01 20:56:00,1970-01-03 05:16:00,False,4.0,Fixed,f,12.0,1,NZ,8.0
FlossTag,Floss,Felis catus,1970-01-01 05:28:00,1970-01-01 00:19:00,True,4.0,Fixed,f,12.0,1,NZ,1.0
JinxTag,Jinx,Felis catus,1970-01-01 00:56:00,1970-01-02 08:15:00,True,4.0,Fixed,m,20.0,1,NZ,8.0
AvaTag,Ava,Felis catus,1970-01-01 02:06:00,1970-01-02 07:38:00,True,4.0,Fixed,f,20.0,1,NZ,2.0
AllieTag,Allie,Felis catus,1970-01-01 00:16:00,1970-01-01 02:35:00,True,4.0,Fixed,f,6.0,1,NZ,8.0
JessTag,Jess,Felis catus,1970-01-01 01:06:00,1970-01-02 22:46:00,True,4.0,Fixed,f,12.0,1,NZ,11.0
Timmy1Tag,Timmy1,Felis catus,1970-01-01 01:36:00,1970-01-03 00:52:00,True,4.0,Fixed,m,12.0,1,NZ,1.0
TeddyTag,Teddy,Felis catus,1970-01-01 01:53:00,1970-01-02 21:09:00,False,4.0,Fixed,m,15.0,1,NZ,5.0
AresTag,Ares,Felis catus,1970-01-01 02:32:00,1970-01-03 03:47:00,False,4.0,Fixed,m,14.0,1,NZ,14.0
TheoTag,Theo,Felis catus,1970-01-01 02:25:00,1970-01-02 03:56:00,True,4.0,Fixed,m,22.0,1,NZ,5.0
NikoTag,Niko,Felis catus,1970-01-01 14:23:00,1970-01-01 23:23:00,True,4.0,Fixed,m,10.0,1,NZ,1.0
Maximus1Tag,Maximus1,Felis catus,1970-01-01 18:52:00,1970-01-01 16:50:00,False,4.0,Fixed,m,23.0,1,NZ,0.3
Babs1Tag,Babs1,Felis catus,1970-01-01 02:18:00,1970-01-02 14:07:00,True,4.0,Fixed,f,14.0,1,NZ,0.4
KiriTag,Kiri,Felis catus,1970-01-02 23:50:00,1970-01-02 17:18:00,True,4.0,Fixed,f,12.0,1,NZ,0.8
LucyTag,Lucy,Felis catus,1970-01-01 05:52:00,1970-01-01 05:25:00,False,4.0,Fixed,f,6.0,1,NZ,7.0
ZeusTag,Zeus,Felis catus,1970-01-01 03:27:00,1970-01-03 08:04:00,True,4.0,Fixed,m,10.0,1,NZ,1.0
DelphiTag,Delphi,Felis catus,1970-01-01 07:07:00,1970-01-03 06:41:00,True,4.0,Fixed,f,10.0,1,NZ,1.0
